,Relief,Fisher,gini,FinalScore
uo_min,1.0,1.0,1.0,1.0
uo_25,0.8938023191792945,0.9357575924743755,0.9201854157295002,0.9154498396712334
uo_mid,0.7370690841190813,0.8075436718357012,0.7929887464493115,0.7762043817698467
uo_avg,0.6679139837996971,0.6915941358984292,0.6703296372090333,0.6722244090762318
uo_75,0.5442386548035905,0.6074604474639815,0.607809878816175,0.5808920830966703
vent_0,0.35517437364859805,0.3987630656582404,0.5087583242887725,0.41304052311246153
vaso_1,0.35517437364859805,0.3987630656580778,0.5087583242887725,0.41304052311240663
inputsum,0.667507868940062,0.25161468157922046,0.2533020497283385,0.3825418265074114
sbp_min,0.22396498088404507,0.41525409470228475,0.4285042200167988,0.34716781330016505
bmi_0,0.4718402833524533,0.23812911931772435,0.3163916293630775,0.3331933049330501
vent_1,0.4718402833524533,0.23812911931753397,0.3163916293630775,0.3331933049329857
diu_0,0.7386026850729523,0.11963638642169452,0.16199964341760964,0.33112484048141294
bmi_1,0.7386026850729523,0.11963638642161525,0.16199964341760964,0.3311248404813862
mbp_min,0.13631779488453585,0.40993755661413883,0.4467650400086649,0.32192895381243736
gcs_min,0.3776313569577787,0.18288649495119944,0.30729785796228537,0.2796277420286679
uo_max,0.29983941343527865,0.24856021174144233,0.2833857007736613,0.26745464369902394
mbp_25,0.021749414180905535,0.3702855474915371,0.42128416923280554,0.2612157202239808
mbp_avg,0.04931482332728962,0.34726348591747197,0.3932847925913503,0.253290949038956
sbp_25,0.09272621298040404,0.3131491906122195,0.3762831035597909,0.2506879018751886
gcs_std,0.28877786500124347,0.14029405592434604,0.3170275384031713,0.23850511926053322
mbp_mid,0.0,0.3396538837517444,0.3840161721711004,0.23092720019824892
sbp_avg,0.10517226807943711,0.2760459004013052,0.3375250096056597,0.22926262264357006
sbp_mid,0.07811873735701255,0.2777546833081056,0.3298631882479386,0.2181111396909149
uo_std,0.2531465498267218,0.19596648312800438,0.22583821697563078,0.21446723637572365
uosum,0.48933663705376684,0.08896052768768004,0.09420663622684256,0.21364034990852823
dbp_min,0.148636111087072,0.2374676810772841,0.2832389429589126,0.21257236336021904
mbp_75,0.020293747668506418,0.286359553946718,0.32769596188433336,0.20074959255915178
BMI,0.6151142075501634,0.004148979102388938,0.0,0.1956526638872169
diu_1,0.6151142075501634,0.004148979102344902,0.0,0.19565266388720198
dbp_25,0.11548476511779995,0.2251351526443979,0.24884362599249776,0.18558466172602828
dbp_mid,0.11046958232671097,0.21403710026842326,0.23509062315365092,0.17549415997670345
spo2_max,0.3384019853884802,0.09368538842807675,0.12590295563044318,0.1749512326357683
dbp_avg,0.10247611506752333,0.2203791132035137,0.22996447121270158,0.17320430184793098
sbp_75,0.06148820530143648,0.21748038512913778,0.25394029021049924,0.16647730287595994
si_max,0.062370422995380564,0.2297057184531106,0.23063920313887287,0.16303335076651096
type_1,0.39269849665276335,0.04755717414186097,0.06230708098992643,0.1562246668977902
M,0.48957895968169385,0.005173723853130561,0.001491291166386688,0.15408982717675085
vaso_0,0.48957895968169385,0.00517372385310143,0.001491291166386688,0.154089827176741
dbp_75,0.08572035539348791,0.19065014154581472,0.19342178228084794,0.1451529507120475
gcs_avg,0.24899846259386502,0.1011347473319164,0.11136004666240673,0.14234907221992102
gcs_25,0.1832189686955394,0.10528397839487402,0.16547327332733985,0.139809392913391
rr_min,0.2855270921146642,0.07103003395397499,0.08590614922812545,0.1359196699137877
type_2,0.3469872922658733,0.04134458210299497,0.05349692928884586,0.13570530956540805
tem_max,0.3132784450346935,0.03665033656244479,0.07005628536728015,0.1283252617913338
tem_min,0.27260461390455015,0.06399646809644828,0.08212785050284133,0.12790086863644942
gcs_75,0.32705155027626875,0.017746660585937008,0.04338769646857443,0.11758170996378904
age,0.25241737571204936,0.055424598261373456,0.07348728309779418,0.11526514631004268
si_std,0.036723306343380474,0.16074423472779442,0.16623987921780703,0.10931149473724429
gcs_max,0.3344416158278407,0.004711220865832412,0.023156943409130548,0.10883929295740288
si_75,0.026976530342186722,0.15616486720468584,0.1626722471363946,0.10326596687344843
gcs_mid,0.21796524011298782,0.04399990750874449,0.08283282215451049,0.10292281453454165
tem_75,0.28360788828921046,0.013919165560485497,0.030552836415858486,0.09727450320338009
si_avg,0.024972270631779675,0.12986641805352517,0.13556701834151763,0.08454603663857274
spo2_std,0.11859529429436497,0.0706751082919408,0.09479086875361453,0.08240252799230482
spo2_min,0.16375627619460417,0.05134506428059482,0.0586788833912717,0.07892900958348462
rr_25,0.2314126373015026,0.009980190831340021,0.028021036717054137,0.07745380693873907
tem_mid,0.2609646002188991,0.0013652896014378884,0.00384505782280975,0.0763595178041597
si_mid,0.016789642967652285,0.11754180723569008,0.12556210851346084,0.07423730991386847
type_0,0.20460683678697708,0.0,0.05511258554034715,0.07417847680799451
dbp_max,0.12627843949062026,0.0542317353851192,0.07379229973911627,0.07234832597487492
tem_25,0.22787323134050033,0.00428318964137955,0.021476092977938954,0.07212197543282504
tem_avg,0.24643277967609659,8.225586643157655e-05,0.002379231293041073,0.07052112798472956
spo2_75,0.14516838417479164,0.04587987269433552,0.05187184448450832,0.06850271752291383
mbp_max,0.07546063772546377,0.06672988121935239,0.08463540293630878,0.06306519485637721
sbp_max,0.129811220696301,0.038458162367271245,0.053037957931096,0.06120070659784387
si_25,0.03550635721294604,0.08422486088495887,0.0878102541571728,0.056549818776943046
rr_avg,0.19305040358776823,0.0021881358464877175,0.005022504686979623,0.054090079026465294
rr_max,0.15268821006810204,0.019458036757203485,0.015146327878489352,0.04970859772584569
rr_mid,0.15566130158714267,0.001953309505245624,0.006632471474670609,0.04192252909966764
rr_std,0.06876068179310726,0.03286896494819511,0.047944698236969785,0.036965249770488755
tem_std,0.0038665906735003974,0.05253762603348589,0.05880249197626419,0.025353921484467343
si_min,0.07025971048230537,0.02074451468405723,0.023950452257187393,0.025268771092697574
hr_max,0.043460490257380996,0.02780811182903515,0.03406838726292705,0.02201937294894614
hr_25,0.07432052141540915,0.005239182897825781,0.014690797910256848,0.018273731542246964
hr_mid,0.059508895063767026,0.009515663343639293,0.025087939081798183,0.018227105749856726
hr_75,0.04720363206734643,0.014728016646122754,0.028036444426204454,0.016826891925451566
hr_avg,0.05644007183646141,0.010263254559020205,0.02238094433860205,0.01652828680725981
hr_std,0.0547706998873321,0.011224426391272883,0.021256425485790764,0.015909090845384832
dbp_std,0.04587975754488052,0.009069738957989317,0.01027892522656959,0.008468433870128788
spo2_avg,0.058668669970417225,0.002392132348074706,0.002059445815071115,0.007756173780563392
sbp_std,0.02280922282973838,0.0055360935831037595,0.017745945649738637,0.002002820656394566
spo2_mid,0.01462852018679825,0.012608725000407672,0.01292599467261013,0.0
