,0
0,0.005898541
1,0.008046456
2,0.0050089
3,0.00513356
4,0.012468382
5,0.009850924
6,0.01129485
7,0.007977507
8,0.007755801
9,0.012267497
10,0.014717208
11,0.010491688
12,0.010705928
13,0.01932124
14,0.012244437
15,0.011318417
16,0.013058585
17,0.009587621
18,0.011535556
19,0.01295363
20,0.014691995
21,0.014269075
22,0.017338905
23,0.015609748
24,0.01860963
25,0.016373007
26,0.015935689
27,0.015988295
28,0.01528249
29,0.012465197
30,0.014998273
31,0.015739931
32,0.018506443
33,0.016206744
34,0.01874105
35,0.0174069
36,0.015964254
37,0.016207299
38,0.017240653
39,0.01793732
40,0.01986635
41,0.019825539
42,0.019251111
43,0.017689502
44,0.01614256
45,0.018508883
46,0.017546041
47,0.017538601
48,0.019120919
49,0.018538976
50,0.019310926
51,0.018117237
52,0.01309962
53,0.015451615
54,0.011452127
55,0.013926668
56,0.014552341
57,0.010261221
58,0.011736556
59,0.011989521
60,0.008099953
61,0.011933533
62,0.011860366
63,0.013047946
64,0.012535275
65,0.012982851
66,0.012807922
67,0.010123514
68,0.011717136
69,0.009674503
70,0.008465532
71,0.009963423
72,0.009530166
73,0.009530166
74,0.009403806
75,0.009403806
76,0.010560544
77,0.010560544
78,0.010438697
79,0.010438697
80,0.01027455
81,0.01027455
